dish_id,dish_name,price,max_qty,promo_qty,promo_price,preparation_status
A1,Dendeng,$5,40,,,
A2,Ikan Asin,$5,40,,,
A3,Cheung Fun,$8,30,,,
M1,Nasi Hainan,$16,50,,,
M2,Lontong Sayur,$16,70,,,
M3,Lontong Sate,$16,70,,,
M3-2,Sate Add-On,$3,70,,,
M4,Nasi Kuning,$16,70,,,
M5,Soto Bening,$16,50,,,
M6,Bakso Kuah,$16,50,,,
M7,Mie Pangsit,$16,60,,,
M8,Pempek,$16,50,,,
G1,Lumpia,$3,108,2,5,
G2,Pisang Molen,$3,100,2,5,
G3,Tahu Isi Goreng,$4,100,3,10,
G4,Enoki Goreng,$3,200,,,
G5,Tempe Goreng,$3,200,,,
D1,Lemon Tea,$3,300,,,
D2,Markisa,$3,300,,,
D3,Cendol,$6,100,,,
D4,Pandan Cake,$9,36,,,
D5,Vegan Black Forest Cake,$9,20,,,
D6,Vegan Vanilla Biscoff Cupcake,$6,15,,,
D7,Choc Berry Cupcake,$6,24,,,
D8,Mini Cookies & Cream Cupcake,$3,15,,,
D9,Mini Choc Vegan Cupcake,$3,15,,,
D10,Jelly Cup,$2,40,,,
D11,Wajik,$5,25,,,
D12,Kue Ku,$6,25,,,
T1,2-Choices,$12,350,,,
T2,3-Choices With Rice,$16,300,,,
T3,3-Choices Without Rice,$18,300,,,
